data;exercicio;tipo;segmento;meio;movimentacao;saldo
18/12/2022;01/01/2023;Saída;vende-c;crédito;832,1;54000
18/12/2022;01/01/2023;Saída;igti;crédito;1120,15;52879,85
18/12/2022;01/01/2023;Saída;alura;crédito;382,5;52497,35
18/12/2022;01/01/2023;Saída;ebac;crédito;1182,9;51314,45
26/12/2022;01/01/2023;Saída;mercado ano novo;crédito;1248,4;50066,05
01/01/2023;01/01/2023;Saída;Convênio;boleto;5892,05;44174
01/01/2023;01/01/2023;Saída;Combustível;crédito;400;43774
01/01/2023;01/01/2023;Saída;Telefone;crédito;270;43504
01/01/2023;01/01/2023;Saída; Assinaturas ;crédito;74,5;43429,5
01/01/2023;01/01/2023;Saída;Alimentação;crédito;414,65;43014,85
01/01/2023;01/01/2023;Saída;Lazer;crédito;1789,85;41225
01/01/2023;01/01/2023;Saída;Uber;crédito;434,35;40790,65
02/01/2023;01/01/2023;Entrada;Dividendos;pix;125740,15;166530,8
02/01/2023;01/01/2023;Entrada;Dividendos;pix;66577,45;233108,25
02/01/2023;01/01/2023;Entrada;Dividendos;pix;59449,05;292557,3
03/01/2023;01/01/2023;Entrada;Pró-labore;pix;25000;317557,3
03/01/2023;01/01/2023;Saída;umma;crédito;1697,8;315859,5
03/01/2023;01/01/2023;Saída;umma;crédito;224,8;315634,7
03/01/2023;01/01/2023;Saída;umma;crédito;1199,7;314435
09/01/2023;01/01/2023;Saída;celular;crédito;3166;311269
14/01/2023;01/01/2023;Saída;tarifa bb;débito;84,6;311184,4
14/01/2023;01/01/2023;Saída;tarifa bb;débito;84,6;311099,8
14/01/2023;01/01/2023;Entrada;Pró-labore;pix;35000;346099,8
18/01/2023;01/02/2023;Saída;vende-c;crédito;832,1;345267,7
18/01/2023;01/02/2023;Saída;igti;crédito;1120,15;344147,55
18/01/2023;01/02/2023;Saída;alura;crédito;382,5;343765,05
18/01/2023;01/02/2023;Saída; ebac ;crédito;1182,9;342582,15
18/01/2023;01/02/2023;Saída;amazon;crédito;286,8;342295,35
01/02/2023;01/02/2023;Saída;Convênio;boleto;5892,05;336403,3
01/02/2023;01/02/2023;Saída;Assinaturas;crédito;209,5;336193,8
01/02/2023;01/02/2023;Saída;Alimentação;crédito;1391,15;334802,65
01/02/2023;01/02/2023;Saída;Lazer;crédito;1088;333714,65
01/02/2023;01/02/2023;Saída;Uber;crédito;673,5;333041,15
02/02/2023;01/02/2023;Saída;monster of rock;crédito;408;332633,15
09/02/2023;01/02/2023;Saída;joao do rock;crédito;233,5;332399,65
09/02/2023;01/02/2023;Saída;celular;crédito;3166;329233,65
18/02/2023;01/03/2023;Saída;vende-c;crédito;832,1;328401,55
18/02/2023;01/03/2023;Saída;igti;crédito;1120,15;327281,4
18/02/2023;01/03/2023;Saída;alura;crédito;382,5;326898,9
18/02/2023;01/03/2023;Saída;ebac;crédito;1182,9;325716
18/02/2023;01/03/2023;Saída;amazon;crédito;286,8;325429,2
01/03/2023;01/03/2023;Saída;Convênio;boleto;5892,05;319537,15
01/03/2023;01/03/2023;Saída;Telefone;crédito;135;319402,15
01/03/2023;01/03/2023;Saída;Assinaturas;crédito;209,5;319192,65
01/03/2023;01/03/2023;Saída;Alimentação;crédito;347,7;318844,95
01/03/2023;01/03/2023;Saída;Lazer;crédito;2652,95;316192
01/03/2023;01/03/2023;Saída;Uber;crédito;1112,8;315079,2
02/03/2023;01/03/2023;Saída; monster of rock ;crédito;408;314671,2
09/03/2023;01/03/2023;Saída;joao do rock;crédito;233,5;314437,7
09/03/2023;01/03/2023;Saída;celular;crédito;3166;311271,7
14/03/2023;01/03/2023;Saída;tarifa bb;débito;84,6;311187,1
14/03/2023;01/03/2023;Entrada;Pró-labore;pix;40000;351187,1
15/03/2023;01/03/2023;Saída;farmacia;crédito;284,95;350902,15
15/03/2023;01/03/2023;Saída;edifier;crédito;332,5;350569,65
15/03/2023;01/04/2023;Saída;farmacia;crédito;284,95;350284,7
18/03/2023;01/04/2023;Saída;amazon;crédito;286,8;349997,9
28/03/2023;01/04/2023;Saída;summer breeze;crédito;498,65;349499,25
29/03/2023;01/04/2023;Saída;farmacia;crédito;386,35;349112,9
31/03/2023;01/04/2023;Saída;havena;crédito;200;348912,9
01/04/2023;01/04/2023;Saída;Aluguel/Parcelamento ;pix;0;348912,9
01/04/2023;01/04/2023;Saída; Convênio ;boleto;5892,05;343020,85
01/04/2023;01/04/2023;Saída;Água;pix;93,85;342927
01/04/2023;01/04/2023;Saída;Luz;pix;353,3;342573,7
01/04/2023;01/04/2023;Saída;Condomínio;pix;5396,25;337177,45
01/04/2023;01/04/2023;Saída;Combustível;pix;660;336517,45
01/04/2023;01/04/2023;Saída;Internet ;pix;324,63;336192,83
01/04/2023;01/04/2023;Saída;Telefone;crédito;175;336017,83
01/04/2023;01/04/2023;Saída;Assinaturas;crédito;209,5;335808,33
01/04/2023;01/04/2023;Saída;Alimentação;crédito;2376,15;333432,18
01/04/2023;01/04/2023;Saída;Roupas;crédito;300;333132,18
01/04/2023;01/04/2023;Saída;Lazer;crédito;1177,2;331954,98
01/04/2023;01/04/2023;Saída;Uber;crédito;608,35;331346,63
02/04/2023;01/04/2023;Saída;monster of rock;crédito;408;330938,63
03/04/2023;01/04/2023;Saída;umma;crédito;659,95;330278,68
04/04/2023;01/04/2023;Saída;conserto carro;crédito;3433,15;326845,53
09/04/2023;01/04/2023;Saída; joao do rock ;crédito;233,5;326612,03
09/04/2023;01/04/2023;Saída;celular;crédito;3166;323446,03
14/04/2023;01/04/2023;Saída;tarifa bb;débito;84,6;323361,43
14/04/2023;01/04/2023;Entrada;Pró-labore;pix;35000;358361,43
15/04/2023;01/04/2023;Saída;edifier;crédito;332,5;358028,93
18/04/2023;01/04/2023;Saída;ebac;crédito;1182,9;356846,03
28/04/2023;01/05/2023;Saída;summer breeze;crédito;498,65;356347,38
01/05/2023;01/05/2023;Saída; Aluguel/Parcelamento  ;pix;4750;351597,38
01/05/2023;01/05/2023;Saída;Convênio;boleto;5892,05;345705,33
01/05/2023;01/05/2023;Saída;Água;pix;16,88;345688,45
01/05/2023;01/05/2023;Saída;Luz;pix;333,8;345354,65
01/05/2023;01/05/2023;Saída;Condomínio;pix;5396,25;339958,4
01/05/2023;01/05/2023;Saída;Combustível;pix;440;339518,4
01/05/2023;01/05/2023;Saída;Internet ;pix;324,63;339193,78
01/05/2023;01/05/2023;Saída;Telefone;crédito;135;339058,78
01/05/2023;01/05/2023;Saída;Assinaturas;crédito;209,5;338849,28
02/05/2023;01/05/2023;Saída;monster of rock;crédito;408;338441,28
03/05/2023;01/05/2023;Saída;umma;crédito;0;338441,28
03/05/2023;01/06/2023;Saída;umma;crédito;0;338441,28
04/05/2023;01/05/2023;Saída;conserto carro;crédito;3433,15;335008,13
09/05/2023;01/05/2023;Saída;joao do rock;crédito;233,5;334774,63
09/05/2023;01/05/2023;Saída; celular ;crédito;3166;331608,63
14/05/2023;01/05/2023;Saída;tarifa bb;débito;84,6;331524,03
14/05/2023;01/05/2023;Entrada;Pró-labore;pix;35000;366524,03
15/05/2023;01/05/2023;Saída;edifier;crédito;332,5;366191,53
18/05/2023;01/05/2023;Saída;ebac;crédito;1182,9;365008,63
18/05/2023;01/06/2023;Saída;joao do rock;crédito;233,5;364775,13
18/05/2023;01/06/2023;Saída;monster of rock;crédito;408;364367,13
18/05/2023;01/06/2023;Saída;celular;crédito;3166;361201,13
18/05/2023;01/06/2023;Saída;ebac;crédito;1182,9;360018,23
18/05/2023;01/06/2023;Saída;edifier;crédito;332,5;359685,73
18/05/2023;01/06/2023;Saída;conserto carro;crédito;3433,15;356252,58
18/05/2023;01/06/2023;Saída;summer breeze;crédito;498,65;355753,93
20/05/2023;01/05/2023;Saída;pix gordo;pix;500;355253,93
31/05/2023;01/05/2023;Saída;pix giraia;pix;1250;354003,93
31/05/2023;01/05/2023;Saída;pix thc;pix;837,05;353166,88
31/05/2023;01/06/2023;Saída;roger waters;crédito;810;352356,88
31/05/2023;01/06/2023;Saída;lynyrd manowar;crédito;409,55;351947,33
01/06/2023;01/06/2023;Saída;Aluguel/Parcelamento ;pix;4750;347197,33
01/06/2023;01/06/2023;Saída;Convênio;boleto;5892,05;341305,28
01/06/2023;01/06/2023;Saída;Água/gas;pix;93,98;341211,3
01/06/2023;01/06/2023;Saída;Luz;pix;333,8;340877,5
01/06/2023;01/06/2023;Saída; Condomínio ;pix;5396,25;335481,25
01/06/2023;01/06/2023;Saída;Combustível;pix;440;335041,25
01/06/2023;01/06/2023;Saída;Internet ;pix;324,65;334716,6
01/06/2023;01/06/2023;Saída;Telefone;crédito;100;334616,6
01/06/2023;01/06/2023;Saída;Assinaturas;crédito;209,5;334407,1
01/06/2023;01/06/2023;Saída;Alimentação;crédito;2737,95;331669,15
01/06/2023;01/06/2023;Saída;Lazer;crédito;1540,45;330128,7
01/06/2023;01/06/2023;Saída;Uber;crédito;124,2;330004,5
01/06/2023;01/06/2023;Saída;Outros;crédito;84,5;329920
14/06/2023;01/06/2023;Entrada;Pró-labore;pix;35000;364920
14/06/2023;01/06/2023;Saída;tarifa bb;crédito;84,6;364835,4
18/06/2023;01/07/2023;Saída;monster of rock;crédito;408;364427,4
